rank,content_id,client_id,model_score,suggested_action,reason_codes,stale_but_visible,model_decline_risk_high,ctr_underperforming_for_position,recent_click_drop,syndicated_not_owned,too_new_unstable,needs_verification_before_trusting,content_type,main_intent,impressions_90d,clicks_90d,avg_position,ctr,days_since_last_update,content_age_days,trend_direction
11875,content_27cf7d733c61,client_4e07408562,0.5882570543408229,refresh_review_routine,stale_but_visible,True,False,False,False,False,False,False,keyword article,informational,7625,21,5.3,0.28,104,277,stable
11876,content_6f9a9c5aa19f,client_4e07408562,0.5882361015102013,monitor,none,False,False,False,False,False,False,False,keyword article,informational,3218,6,8.5,0.19,14,487,stable
11877,content_497be869d0cc,client_d029fa3a95,0.5882192694301305,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,comparison article,informational,110,0,6.9,0.0,20,221,down
11878,content_755cec250ffe,client_3fdba35f04,0.5882187113539373,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,transactional,1489,1,15.5,0.07,14,263,down
11879,content_d7fb68efad3e,client_f74efabef1,0.5882019953726905,monitor,none,False,False,False,False,False,False,False,keyword article,informational,12829,44,4.9,0.34,20,123,down
11880,content_5d19d2275db8,client_4e07408562,0.5881912258536297,monitor,recent_click_drop,False,False,False,True,False,False,False,keyword article,informational,3649,18,5.9,0.49,7,487,down
11881,content_010b9063e59e,client_4e07408562,0.5881844901896536,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,2149,2,9.9,0.09,7,504,stable
11882,content_44aad4480627,client_19581e27de,0.5881385213820011,monitor,recent_click_drop,False,False,False,True,False,False,False,keyword article,informational,5400,14,7.3,0.26,22,441,stable
11883,content_ea03fc0ede4f,client_4e07408562,0.5881064603010429,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,commercial,2397,2,11.6,0.08,14,300,up
11884,content_ef660c33264c,client_d029fa3a95,0.5880976937650425,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,56,0,5.7,0.0,20,110,up
11885,content_4a01d23dba2d,client_4e07408562,0.5880752978736701,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,2348,0,15.9,0.0,14,504,down
11886,content_b4bc63f55dbd,client_b4944c6ff0,0.5880457347953035,monitor,none,False,False,False,False,False,False,False,keyword article,commercial,2729,27,4.4,0.99,8,105,up
11887,content_01acbf200d38,client_f74efabef1,0.5880248043362556,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,234,0,12.4,0.0,20,92,down
11888,content_d12432b0eab6,client_8527a891e2,0.5880015595291167,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,67,0,21.7,0.0,104,271,down
11889,content_0f15925dec6f,client_19581e27de,0.5879638437604724,refresh_review_routine,stale_but_visible|ctr_underperforming_for_position,True,False,True,False,False,False,False,keyword article,commercial,6199,5,4.3,0.08,104,236,down
11890,content_fd3592295ab3,client_4e07408562,0.5879628676637335,monitor,none,False,False,False,False,False,False,False,keyword article,informational,2552,5,10.0,0.2,13,230,stable
11891,content_f489e70308fe,client_a88a7902cb,0.5879517548706225,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,66,0,24.3,0.0,28,138,down
11892,content_9482bcc10a81,client_19581e27de,0.5879262131759351,refresh_review_routine,stale_but_visible|ctr_underperforming_for_position,True,False,True,False,False,False,False,keyword article,informational,17859,16,5.1,0.09,104,236,up
11893,content_8acba94ee445,client_a88a7902cb,0.5879233704468659,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,commercial,26,0,16.2,0.0,20,180,new
11894,content_46973d263159,client_6208ef0f77,0.5879147227325011,refresh_review_routine,stale_but_visible|recent_click_drop,True,False,False,True,False,False,False,keyword article,informational,4685,6,30.4,0.13,104,229,down
11895,content_5405d1646250,client_d029fa3a95,0.5879078430420335,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,comparison article,informational,44,0,3.6,0.0,20,221,down
11896,content_3e5ea1d9ee75,client_3fdba35f04,0.5878662545988786,refresh_review_routine,stale_but_visible|ctr_underperforming_for_position,True,False,True,False,False,False,False,keyword article,informational,2870,0,22.1,0.0,104,124,down
11897,content_55a1a3b15410,client_3fdba35f04,0.5878322452928478,refresh_review_routine,stale_but_visible|ctr_underperforming_for_position,True,False,True,False,False,False,False,keyword article,transactional,817,0,14.7,0.0,104,174,down
11898,content_e1ef43003fdd,client_a88a7902cb,0.5878198923617984,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,5,0,5.0,0.0,20,180,down
11899,content_6bf53891613e,client_6208ef0f77,0.587813487852254,refresh_review_routine,stale_but_visible,True,False,False,False,False,False,False,keyword article,transactional,25376,44,41.8,0.17,104,229,up
11900,content_03c48f228901,client_19581e27de,0.5877949783621285,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,transactional,390,0,28.0,0.0,104,362,down
11901,content_7c7db76c471a,client_6208ef0f77,0.5877892816556461,monitor,none,False,False,False,False,False,False,False,keyword article,informational,2632,10,13.6,0.38,20,98,stable
11902,content_d50a9a890aa6,client_19581e27de,0.5877844300236892,refresh_review_routine,stale_but_visible|ctr_underperforming_for_position|recent_click_drop,True,False,True,True,False,False,False,keyword article,commercial,14653,22,5.5,0.15,104,153,down
11903,content_f643d52fa2c8,client_8527a891e2,0.5877821158089445,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,21,0,16.4,0.0,20,91,down
